timestamp,value1,value2,value3,value4,value5
18th July 2019,"[b'\\U0001f91e', b'\\U0001f37e', b'\\U0001f3b7', b'\\U0001f340', b'\\U0001f389']"

17th July 2019,"[b'\\U0001f623', b'\\U0001f633', b'\\U0001f616', b'\\U0001f624', b'\\U0001f631']"

16th July 2019,"[b'\\U0001f4a9', b'\\U0001f601', b'\\U0001f642', b'\\U0001f60e', b'\\U0001f914']"

15th July 2019,"[b'\\U0001f61b', b'\\U0001f62c', b'\\U0001f605', b'\\u263a', b'\\U0001f91e']"

14th July 2019,"[b'\\U0001f917', b'\\U0001f914', b'\\U0001f47b', b'\\U0001f607', b'\\U0001f419']"

13th July 2019,"[b'\\U0001f618', b'\\U0001f602', b'\\U0001f34d', b'\\U0001f60c', b'\\u2665']"

12th July 2019,"[b'\\U0001f61c', b'\\U0001f911', b'\\U0001f917', b'\\U0001f607', b'\\U0001f606']"

11th July 2019,"[b'\\U0001f917', b'\\U0001f913', b'\\U0001f984', b'\\U0001f411', b'\\U0001f4b0']"

10th July 2019,"[b'\\U0001f600', b'\\U0001f60a', b'\\U0001f61c', b'\\U0001f608', b'\\U0001f438']"

9th July 2019,"[b'\\U0001f434', b'\\U0001f415', b'\\U0001f344', b'\\U0001f917', b'\\U0001f450']"

8th July 2019,"[b'\\U0001f60d', b'\\U0001f60d', b'\\U0001f911', b'\\U0001f911', b'\\U0001f60e']"

7th July 2019,"[b'\\U0001f61c', b'\\U0001f602', b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f4a9']"

6th July 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f913', b'\\U0001f643', b'\\U0001f47b']"

5th July 2019,"[b'\\U0001f602', b'\\U0001f60e', b'\\U0001f60d', b'\\U0001f618', b'\\U0001f4a9']"

4th July 2019,"[b'\\U0001f602', b'\\U0001f418', b'\\U0001f60d', b'\\U0001f984', b'\\U0001f389']"

3rd July 2019,"[b'\\U0001f60a', b'\\U0001f643', b'\\U0001f61c', b'\\U0001f609', b'\\U0001f60d']"

2nd July 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f601', b'\\U0001f600', b'\\U0001f602']"

1st July 2019,"[b'\\U0001f602', b'\\U0001f607', b'\\U0001f604', b'\\U0001f60e', b'\\U0001f60d']"

30th June 2019,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f617', b'\\U0001f61c', b'\\U0001f911']"

29th June 2019,"[b'\\U0001f624', b'\\U0001f917', b'\\U0001f913', b'\\U0001f61c', b'\\U0001f911']"

28th June 2019,"[b'\\U0001f618', b'\\U0001f917', b'\\U0001f911', b'\\U0001f64f', b'\\U0001f601']"

27th June 2019,"[b'\\U0001f363', b'\\U0001f984', b'\\U0001f418', b'\\U0001f344', b'\\U0001f34d']"

26th June 2019,"[b'\\U0001f377', b'\\U0001f60e', b'\\U0001f607', b'\\U0001f439', b'\\U0001f427']"

25th June 2019,"[b'\\U0001f60d', b'\\U0001f607', b'\\U0001f618', b'\\U0001f60b', b'\\U0001f643']"

24th June 2019,"[b'\\U0001f48e', b'\\U0001f98a', b'\\U0001f4af', b'\\U0001f479', b'\\U0001f480']"

23rd June 2019,"[b'\\U0001f60a', b'\\U0001f618', b'\\U0001f61a', b'\\U0001f942', b'\\U0001f91e']"

22nd June 2019,"[b'\\U0001f601', b'\\U0001f64f', b'\\U0001f60d', b'\\U0001f602', b'\\U0001f914']"

21st June 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\u2764', b'\\U0001f493', b'\\u263a']"

20th June 2019,"[b'\\U0001f913', b'\\U0001f609', b'\\U0001f642', b'\\U0001f914', b'\\U0001f607']"

19th June 2019,"[b'\\U0001f60d', b'\\U0001f635', b'\\U0001f914', b'\\U0001f624', b'\\U0001f625']"

18th June 2019,"[b'\\U0001f47b', b'\\U0001f632', b'\\U0001f915', b'\\U0001f624', b'\\U0001f434']"

17th June 2019,"[b'\\U0001f60d', b'\\U0001f60a', b'\\U0001f917', b'\\U0001f61c', b'\\U0001f60a']"

16th June 2019,"[b'\\U0001f984', b'\\U0001f422', b'\\U0001f60d', b'\\U0001f602', b'\\U0001f4a9']"

15th June 2019,"[b'\\U0001f603', b'\\U0001f618', b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f60b']"

14th June 2019,"[b'\\U0001f911', b'\\U0001f64f', b'\\u2744', b'\\U0001f441', b'\\U0001f600']"

13th June 2019,"[b'\\U0001f596', b'\\U0001f47d', b'\\U0001f480', b'\\U0001f47b', b'\\U0001f420']"

12th June 2019,"[b'\\U0001f60d', b'\\U0001f609', b'\\u2764', b'\\U0001f60e', b'\\U0001f984']"

11th June 2019,"[b'\\U0001f607', b'\\U0001f618', b'\\U0001f60e', b'\\U0001f31e', b'\\U0001f942']"

10th June 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f911', b'\\U0001f942', b'\\U0001f495']"

9th June 2019,"[b'\\U0001f601', b'\\U0001f602', b'\\U0001f604', b'\\U0001f606', b'\\U0001f60b']"

8th June 2019,"[b'\\U0001f602', b'\\U0001f609', b'\\U0001f60e', b'\\U0001f61c', b'\\U0001f914']"

7th June 2019,"[b'\\U0001f618', b'\\U0001f984', b'\\U0001f495', b'\\U0001f942', b'\\U0001f606']"

6th June 2019,"[b'\\U0001f602', b'\\U0001f609', b'\\U0001f643', b'\\U0001f914', b'\\U0001f61d']"

5th June 2019,"[b'\\U0001f911', b'\\U0001f308', b'\\U0001f98b', b'\\U0001f4b7', b'\\U0001f4b0']"

4th June 2019,"[b'\\U0001f416', b'\\U0001f355', b'\\U0001f336', b'\\U0001f369', b'\\U0001f363']"

3rd June 2019,"[b'\\U0001f431', b'\\U0001f430', b'\\U0001f389', b'\\U0001f308', b'\\U0001f60d']"

2nd June 2019,"[b'\\U0001f602', b'\\U0001f603', b'\\U0001f60a', b'\\U0001f618', b'\\U0001f607']"

1st June 2019,"[b'\\U0001f600', b'\\U0001f917', b'\\U0001f914', b'\\U0001f47d', b'\\U0001f47b']"

31st May 2019,"[b'\\U0001f4b0', b'\\U0001f60d', b'\\U0001f911', b'\\U0001f64f', b'\\U0001f61c']"

30th May 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f911', b'\\U0001f60e', b'\\U0001f617']"

29th May 2019,"[b'\\u2744', b'\\u2665', b'\\U0001f308', b'\\U0001f4b0', b'\\U0001f333']"

28th May 2019,"[b'\\U0001f415', b'\\U0001f333', b'\\U0001f31e', b'\\U0001f60d', b'\\U0001f917']"

27th May 2019,"[b'\\U0001f60d', b'\\U0001f60b', b'\\U0001f913', b'\\U0001f914', b'\\U0001f60e']"

26th May 2019,"[b'\\U0001f608', b'\\U0001f438', b'\\U0001f427', b'\\U0001f913', b'\\U0001f419']"

25th May 2019,"[b'\\U0001f448', b'\\U0001f446', b'\\U0001f447', b'\\U0001f450', b'\\U0001f44a']"

24th May 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f602', b'\\U0001f61d', b'\\U0001f4a9']"

23rd May 2019,"[b'\\U0001f618', b'\\U0001f642', b'\\U0001f911', b'\\U0001f600', b'\\U0001f60d']"

22nd May 2019,"[b'\\U0001f63a', b'\\U0001f31c', b'\\U0001f427', b'\\U0001f608', b'\\U0001f60d']"

21st May 2019,"[b'\\U0001f600', b'\\U0001f602', b'\\U0001f61c', b'\\U0001f911', b'\\U0001f60e']"

20th May 2019,"[b'\\U0001f61c', b'\\U0001f602', b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f4a9']"

19th May 2019,"[b'\\U0001f31f', b'\\U0001f680', b'\\U0001f410', b'\\U0001f42c', b'\\u26f5']"

18th May 2019,"[b'\\U0001f913', b'\\U0001f60c', b'\\u2665', b'\\U0001f4af', b'\\U0001f605']"

17th May 2019,"[b'\\U0001f640', b'\\U0001f984', b'\\U0001f608', b'\\U0001f911', b'\\U0001f4a9']"

16th May 2019,"[b'\\U0001f600', b'\\U0001f60b', b'\\U0001f60d', b'\\U0001f608', b'\\U0001f984']"

15th May 2019,"[b'\\U0001f911', b'\\U0001f60e', b'\\U0001f917', b'\\U0001f914', b'\\U0001f619']"

14th May 2019,"[b'\\U0001f308', b'\\U0001f98b', b'\\u2744', b'\\U0001f409', b'\\U0001f47b']"

13th May 2019,"[b'\\U0001f618', b'\\U0001f60d', b'\\U0001f600', b'\\U0001f61c', b'\\U0001f914']"

12th May 2019,"[b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f917', b'\\U0001f618', b'\\U0001f98b']"

11th May 2019,"[b'\\U0001f431', b'\\U0001f4a4', b'\\U0001f431', b'\\U0001f4a4', b'\\U0001f431']"

10th May 2019,"[b'\\U0001f917', b'\\U0001f602', b'\\U0001f60e', b'\\U0001f47b', b'\\U0001f915']"

9th May 2019,"[b'\\U0001f607', b'\\U0001f64f', b'\\U0001f984', b'\\U0001f31e', b'\\U0001f48e']"

8th May 2019,"[b'\\U0001f911', b'\\U0001f601', b'\\U0001f618', b'\\U0001f340', b'\\U0001f31c']"

7th May 2019,"[b'\\U0001f61a', b'\\U0001f631', b'\\U0001f911', b'\\U0001f60e', b'\\U0001f60d']"

6th May 2019,"[b'\\U0001f911', b'\\U0001f911', b'\\U0001f911', b'\\U0001f614', b'\\U0001f615']"

5th May 2019,"[b'\\U0001f64f', b'\\U0001f450', b'\\U0001f64f', b'\\U0001f450', b'\\U0001f64f']"

4th May 2019,"[b'\\U0001f60d', b'\\U0001f60a', b'\\U0001f606', b'\\U0001f60b', b'\\U0001f61d']"

3rd May 2019,"[b'\\U0001f601', b'\\U0001f642', b'\\U0001f617', b'\\U0001f61c', b'\\U0001f914']"

2nd May 2019,"[b'\\U0001f617', b'\\U0001f47d', b'\\U0001f333', b'\\U0001f354', b'\\U0001f412']"

1st May 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f64f', b'\\U0001f61c', b'\\U0001f431']"

30th April 2019,"[b'\\U0001f917', b'\\U0001f643', b'\\U0001f630', b'\\U0001f596', b'\\U0001f984']"

29th April 2019,"[b'\\U0001f355', b'\\U0001f643', b'\\U0001f913', b'\\U0001f636', b'\\U0001f43c']"

28th April 2019,"[b'\\U0001f602', b'\\U0001f606', b'\\U0001f609', b'\\U0001f911', b'\\U0001f444']"

27th April 2019,"[b'\\U0001f642', b'\\U0001f600', b'\\U0001f602', b'\\U0001f911', b'\\U0001f60d']"

26th April 2019,"[b'\\U0001f984', b'\\U0001f942', b'\\U0001f91e', b'\\U0001f64f', b'\\U0001f911']"

25th April 2019,"[b'\\U0001f619', b'\\U0001f911', b'\\U0001f913', b'\\U0001f60e', b'\\U0001f600']"

24th April 2019,"[b'\\U0001f911', b'\\U0001f607', b'\\U0001f917', b'\\U0001f61c', b'\\U0001f643']"

23rd April 2019,"[b'\\U0001f60d', b'\\U0001f604', b'\\U0001f60a', b'\\U0001f642', b'\\U0001f607']"

22nd April 2019,"[b'\\U0001f61c', b'\\U0001f617', b'\\U0001f642', b'\\U0001f601', b'\\U0001f607']"

21st April 2019,"[b'\\U0001f600', b'\\U0001f602', b'\\U0001f60d', b'\\U0001f911', b'\\U0001f913']"

20th April 2019,"[b'\\U0001f601', b'\\U0001f913', b'\\U0001f609', b'\\U0001f60d', b'\\U0001f61c']"

19th April 2019,"[b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f602', b'\\U0001f942', b'\\U0001f605']"

18th April 2019,"[b'\\U0001f600', b'\\U0001f602', b'\\U0001f60d', b'\\U0001f61d', b'\\U0001f911']"

17th April 2019,"[b'\\U0001f61c', b'\\U0001f602', b'\\U0001f624', b'\\U0001f60d', b'\\U0001f917']"

16th April 2019,"[b'\\U0001f911', b'\\U0001f60e', b'\\U0001f43c', b'\\U0001f634', b'\\U0001f607']"

15th April 2019,"[b'\\U0001f911', b'\\U0001f60d', b'\\U0001f607', b'\\U0001f911', b'\\U0001f60d']"

14th April 2019,"[b'\\U0001f600', b'\\U0001f60d', b'\\U0001f60a', b'\\U0001f61d', b'\\U0001f607']"

13th April 2019,"[b'\\U0001f607', b'\\U0001f618', b'\\U0001f643', b'\\U0001f917', b'\\U0001f602']"

12th April 2019,"[b'\\U0001f91e', b'\\U0001f988', b'\\U0001f98a', b'\\U0001f98b', b'\\U0001f62c']"

11th April 2019,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f61c', b'\\U0001f60f', b'\\U0001f495']"

10th April 2019,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f61c', b'\\U0001f914', b'\\U0001f4a9']"

9th April 2019,"[b'\\U0001f32a', b'\\U0001f333', b'\\U0001f33b', b'\\U0001f421', b'\\U0001f31e']"

8th April 2019,"[b'\\U0001f602', b'\\U0001f61c', b'\\U0001f606', b'\\U0001f643', b'\\U0001f60a']"

7th April 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f60e', b'\\u2600', b'\\U0001f60f']"

6th April 2019,"[b'\\U0001f606', b'\\U0001f607', b'\\U0001f609', b'\\U0001f60e', b'\\U0001f917']"

5th April 2019,"[b'\\U0001f602', b'\\U0001f607', b'\\U0001f60b', b'\\U0001f618', b'\\U0001f61c']"

4th April 2019,"[b'\\U0001f60b', b'\\U0001f618', b'\\U0001f917', b'\\U0001f602', b'\\U0001f60e']"

3rd April 2019,"[b'\\U0001f609', b'\\U0001f61d', b'\\U0001f60e', b'\\U0001f495', b'\\U0001f31e']"

2nd April 2019,"[b'\\U0001f60b', b'\\U0001f61c', b'\\U0001f914', b'\\U0001f619', b'\\U0001f61d']"

1st April 2019,"[b'\\U0001f602', b'\\U0001f354', b'\\U0001f42a', b'\\U0001f36d', b'\\u26fa']"

31st March 2019,"[b'\\U0001f917', b'\\U0001f60e', b'\\U0001f914', b'\\U0001f636', b'\\U0001f607']"

30th March 2019,"[b'\\U0001f61c', b'\\U0001f60a', b'\\U0001f917', b'\\U0001f914', b'\\U0001f602']"

29th March 2019,"[b'\\U0001f405', b'\\U0001f353', b'\\U0001f60d', b'\\U0001f608', b'\\U0001f431']"

28th March 2019,"[b'\\U0001f606', b'\\U0001f917', b'\\U0001f618', b'\\U0001f609', b'\\U0001f61c']"

27th March 2019,"[b'\\U0001f60e', b'\\U0001f913', b'\\U0001f604', b'\\U0001f60d', b'\\U0001f619']"

26th March 2019,"[b'\\U0001f600', b'\\U0001f618', b'\\U0001f450', b'\\U0001f427', b'\\U0001f340']"

25th March 2019,"[b'\\U0001f914', b'\\U0001f917', b'\\U0001f636', b'\\U0001f619', b'\\U0001f61c']"

24th March 2019,"[b'\\U0001f602', b'\\U0001f61c', b'\\U0001f47b', b'\\U0001f427', b'\\U0001f405']"

23rd March 2019,"[b'\\U0001f607', b'\\U0001f438', b'\\U0001f618', b'\\U0001f917', b'\\U0001f606']"

22nd March 2019,"[b'\\U0001f642', b'\\U0001f643', b'\\U0001f60b', b'\\U0001f636', b'\\U0001f913']"

21st March 2019,"[b'\\U0001f607', b'\\U0001f602', b'\\U0001f618', b'\\U0001f61c', b'\\U0001f60b']"

20th March 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f60a', b'\\U0001f60b', b'\\U0001f4af']"

19th March 2019,"[b'\\U0001f642', b'\\U0001f607', b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f914']"

18th March 2019,"[b'\\U0001f917', b'\\U0001f617', b'\\U0001f643', b'\\U0001f602', b'\\U0001f60d']"

17th March 2019,"[b'\\U0001f619', b'\\U0001f47d', b'\\U0001f61d', b'\\U0001f44a', b'\\U0001f436']"

16th March 2019,"[b'\\U0001f603', b'\\U0001f61c', b'\\U0001f917', b'\\U0001f624', b'\\U0001f631']"

15th March 2019,"[b'\\U0001f600', b'\\U0001f634', b'\\U0001f981', b'\\U0001f427', b'\\U0001f33b']"

14th March 2019,"[b'\\U0001f600', b'\\U0001f642', b'\\U0001f643', b'\\U0001f636', b'\\U0001f604']"

13th March 2019,"[b'\\U0001f60a', b'\\U0001f619', b'\\U0001f602', b'\\U0001f60b', b'\\U0001f914']"

12th March 2019,"[b'\\U0001f407', b'\\U0001f4a9', b'\\U0001f44a', b'\\U0001f618', b'\\U0001f91e']"

11th March 2019,"[b'\\U0001f431', b'\\U0001f3f3\\U0001f308', b'\\u26e9', b'\\U0001f3b6', b'\\U0001f33a']"

10th March 2019,"[b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f911', b'\\U0001f625']"

9th March 2019,"[b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f917', b'\\U0001f60a', b'\\U0001f607']"

8th March 2019,"[b'\\U0001f60a', b'\\U0001f602', b'\\U0001f60e', b'\\U0001f606', b'\\U0001f60b']"

7th March 2019,"[b'\\U0001f439', b'\\U0001f439', b'\\U0001f439', b'\\U0001f439', b'\\U0001f439']"

6th March 2019,"[b'\\U0001f600', b'\\U0001f607', b'\\U0001f618', b'\\U0001f917', b'\\U0001f911']"

5th March 2019,"[b'\\U0001f913', b'\\U0001f60e', b'\\U0001f31e', b'\\U0001f98b', b'\\U0001f435']"

4th March 2019,"[b'\\U0001f914', b'\\u2744', b'\\U0001f91e', b'\\u2600', b'\\U0001f911']"

3rd March 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f435', b'\\U0001f913', b'\\U0001f60e']"

2nd March 2019,"[b'\\U0001f60d', b'\\U0001f911', b'\\U0001f618', b'\\U0001f44a', b'\\U0001f984']"

1st March 2019,"[b'\\U0001f47b', b'\\U0001f4a9', b'\\U0001f60d', b'\\U0001f428', b'\\U0001f419']"

28th February 2019,"[b'\\U0001f601', b'\\U0001f617', b'\\U0001f61a', b'\\U0001f61e', b'\\U0001f612']"

27th February 2019,"[b'\\U0001f609', b'\\U0001f60b', b'\\U0001f607', b'\\U0001f60d', b'\\U0001f606']"

26th February 2019,"[b'\\U0001f917', b'\\U0001f607', b'\\U0001f602', b'\\U0001f308', b'\\U0001f61b']"

25th February 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f601', b'\\U0001f602', b'\\U0001f609']"

24th February 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f47b', b'\\U0001f601', b'\\U0001f643']"

23rd February 2019,"[b'\\U0001f419', b'\\U0001f431', b'\\U0001f425', b'\\U0001f427', b'\\U0001f412']"

22nd February 2019,"[b'\\U0001f600', b'\\U0001f618', b'\\U0001f60a', b'\\U0001f60b', b'\\U0001f634']"

21st February 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f64f', b'\\U0001f631', b'\\u2764']"

20th February 2019,"[b'\\U0001f60d', b'\\U0001f498', b'\\U0001f352', b'\\U0001f340', b'\\U0001f431']"

19th February 2019,"[b'\\U0001f60d', b'\\U0001f917', b'\\U0001f602', b'\\U0001f60b', b'\\U0001f609']"

18th February 2019,"[b'\\U0001f434', b'\\U0001f981', b'\\U0001f431', b'\\U0001f43c', b'\\U0001f444']"

17th February 2019,"[b'\\U0001f602', b'\\U0001f607', b'\\U0001f643', b'\\U0001f60d', b'\\U0001f606']"

16th February 2019,"[b'\\U0001f618', b'\\U0001f602', b'\\U0001f525', b'\\U0001f4b0', b'\\U0001f355']"

15th February 2019,"[b'\\U0001f434', b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f914', b'\\U0001f60e']"

14th February 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f4a9', b'\\U0001f61d', b'\\U0001f911']"

13th February 2019,"[b'\\U0001f602', b'\\U0001f618', b'\\U0001f61c', b'\\U0001f911', b'\\U0001f601']"

12th February 2019,"[b'\\U0001f917', b'\\U0001f914', b'\\U0001f911', b'\\U0001f601', b'\\U0001f60a']"

11th February 2019,"[b'\\U0001f642', b'\\U0001f618', b'\\U0001f44a', b'\\U0001f64f', b'\\U0001f632']"

10th February 2019,"[b'\\U0001f609', b'\\U0001f60e', b'\\U0001f60a', b'\\U0001f911', b'\\U0001f914']"

9th February 2019,"[b'\\U0001f601', b'\\U0001f609', b'\\U0001f619', b'\\U0001f911', b'\\U0001f914']"

8th February 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f61c', b'\\U0001f600', b'\\U0001f914']"

7th February 2019,"[b'\\U0001f917', b'\\U0001f60a', b'\\U0001f913', b'\\U0001f607', b'\\U0001f914']"

6th February 2019,"[b'\\U0001f61c', b'\\U0001f914', b'\\U0001f445', b'\\U0001f333', b'\\u270c']"

5th February 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f64f', b'\\U0001f427', b'\\U0001f422']"

4th February 2019,"[b'\\U0001f913', b'\\U0001f4a9', b'\\U0001f47d', b'\\U0001f437', b'\\U0001f351']"

3rd February 2019,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f436', b'\\U0001f495', b'\\U0001f91e']"

2nd February 2019,"[b'\\U0001f606', b'\\U0001f604', b'\\U0001f603', b'\\U0001f600', b'\\U0001f609']"

1st February 2019,"[b'\\U0001f607', b'\\U0001f628', b'\\U0001f634', b'\\U0001f602', b'\\U0001f609']"

31st January 2019,"[b'\\U0001f604', b'\\U0001f619', b'\\U0001f60e', b'\\U0001f914', b'\\U0001f60b']"

30th January 2019,"[b'\\U0001f60d', b'\\U0001f4a9', b'\\U0001f981', b'\\U0001f31e', b'\\U0001f352']"

29th January 2019,"[b'\\U0001f917', b'\\U0001f407', b'\\U0001f64f', b'\\U0001f47b', b'\\U0001f493']"

28th January 2019,"[b'\\U0001f618', b'\\U0001f602', b'\\U0001f607', b'\\U0001f911', b'\\U0001f61d']"

27th January 2019,"[b'\\U0001f60d', b'\\U0001f427', b'\\U0001f988', b'\\U0001f3f3\\U0001f308', b'\\U0001f60f']"

26th January 2019,"[b'\\U0001f601', b'\\U0001f60a', b'\\U0001f619', b'\\U0001f636', b'\\U0001f600']"

25th January 2019,"[b'\\U0001f917', b'\\U0001f607', b'\\U0001f60b', b'\\U0001f60d', b'\\U0001f606']"

24th January 2019,"[b'\\U0001f618', b'\\U0001f643', b'\\U0001f917', b'\\U0001f60a', b'\\U0001f60b']"

23rd January 2019,"[b'\\U0001f942', b'\\U0001f942', b'\\U0001f91e', b'\\U0001f942', b'\\U0001f942']"

22nd January 2019,"[b'\\U0001f600', b'\\U0001f602', b'\\U0001f60d', b'\\U0001f349', b'\\U0001f984']"

21st January 2019,"[b'\\U0001f618', b'\\U0001f602', b'\\U0001f609', b'\\U0001f60b', b'\\U0001f60d']"

20th January 2019,"[b'\\U0001f601', b'\\U0001f600', b'\\U0001f606', b'\\U0001f60b', b'\\U0001f60e']"

19th January 2019,"[b'\\U0001f47b', b'\\U0001f623', b'\\U0001f635', b'\\U0001f618', b'\\U0001f911']"

18th January 2019,"[b'\\U0001f602', b'\\U0001f917', b'\\U0001f64f', b'\\U0001f595', b'\\U0001f346']"

17th January 2019,"[b'\\U0001f47d', b'\\U0001f4a9', b'\\U0001f479', b'\\U0001f47a', b'\\U0001f31a']"

16th January 2019,"[b'\\U0001f600', b'\\U0001f602', b'\\U0001f604', b'\\U0001f61c', b'\\U0001f60d']"

15th January 2019,"[b'\\U0001f600', b'\\U0001f60a', b'\\U0001f643', b'\\U0001f415', b'\\U0001f60e']"

14th January 2019,"[b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f917', b'\\U0001f61d', b'\\U0001f60a']"

13th January 2019,"[b'\\U0001f600', b'\\U0001f607', b'\\U0001f602', b'\\U0001f911', b'\\U0001f60b']"

12th January 2019,"[b'\\U0001f917', b'\\U0001f914', b'\\U0001f617', b'\\U0001f607', b'\\U0001f60d']"

11th January 2019,"[b'\\U0001f601', b'\\U0001f618', b'\\U0001f60b', b'\\U0001f61c', b'\\U0001f60d']"

10th January 2019,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f61c', b'\\U0001f631', b'\\U0001f914']"

9th January 2019,"[b'\\U0001f31e', b'\\U0001f61a', b'\\u2663', b'\\U0001f605', b'\\U0001f91e']"

8th January 2019,"[b'\\U0001f60d', b'\\U0001f609', b'\\U0001f60a', b'\\U0001f602', b'\\U0001f606']"

7th January 2019,"[b'\\U0001f60d', b'\\U0001f984', b'\\U0001f988', b'\\U0001f435', b'\\U0001f608']"

6th January 2019,"[b'\\U0001f914', b'\\U0001f64f', b'\\U0001f437', b'\\U0001f415', b'\\u2665']"

5th January 2019,"[b'\\U0001f602', b'\\U0001f603', b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f917']"

4th January 2019,"[b'\\U0001f60d', b'\\U0001f4a9', b'\\U0001f984', b'\\U0001f37b', b'\\U0001f308']"

3rd January 2019,"[b'\\U0001f5f3', b'\\u262e', b'\\U0001f917', b'\\U0001f49e', b'\\u2604']"

2nd January 2019,"[b'\\U0001f608', b'\\U0001f480', b'\\U0001f47d', b'\\U0001f441', b'\\U0001f525']"

1st January 2019,"[b'\\U0001f60e', b'\\U0001f4a9', b'\\U0001f648', b'\\U0001f30d', b'\\U0001f385']"

31st December 2018,"[b'\\U0001f44a', b'\\U0001f602', b'\\U0001f648', b'\\U0001f1ec\\U0001f1e7', b'\\U0001f919']"

30th December 2018,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f607', b'\\U0001f618', b'\\U0001f911']"

29th December 2018,"[b'\\U0001f602', b'\\U0001f60d', b'\\U0001f607', b'\\U0001f643', b'\\U0001f618']"

28th December 2018,"[b'\\U0001f60d', b'\\U0001f911', b'\\U0001f61c', b'\\U0001f4a9', b'\\U0001f445']"

27th December 2018,"[b'\\U0001f602', b'\\U0001f601', b'\\U0001f609', b'\\U0001f62f', b'\\U0001f61c']"

26th December 2018,"[b'\\U0001f602', b'\\U0001f609', b'\\U0001f607', b'\\U0001f60b', b'\\U0001f913']"

25th December 2018,"[b'\\U0001f427', b'\\U0001f43c', b'\\U0001f60d', b'\\U0001f60e', b'\\U0001f631']"

24th December 2018,"[b'\\U0001f917', b'\\U0001f431', b'\\U0001f340', b'\\U0001f33b', b'\\U0001f427']"

23rd December 2018,"[b'\\U0001f60a', b'\\U0001f60b', b'\\U0001f60d', b'\\U0001f643', b'\\U0001f911']"

22nd December 2018,"[b'\\U0001f602', b'\\U0001f609', b'\\U0001f61c', b'\\U0001f618', b'\\U0001f60d']"

21st December 2018,"[b'\\U0001f441', b'\\U0001f643', b'\\U0001f602', b'\\U0001f917', b'\\U0001f389']"

20th December 2018,"[b'\\U0001f913', b'\\U0001f60e', b'\\U0001f607', b'\\U0001f60d', b'\\U0001f61c']"

19th December 2018,"[b'\\U0001f607', b'\\U0001f60d', b'\\U0001f618', b'\\U0001f642', b'\\U0001f602']"

18th December 2018,"[b'\\U0001f600', b'\\U0001f60a', b'\\U0001f642', b'\\U0001f61c', b'\\U0001f60d']"

17th December 2018,"[b'\\U0001f60e', b'\\U0001f913', b'\\U0001f60b', b'\\U0001f60a', b'\\U0001f917']"

16th December 2018,"[b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f984', b'\\U0001f308', b'\\U0001f62c']"

15th December 2018,"[b'\\U0001f607', b'\\U0001f60d', b'\\U0001f60a', b'\\U0001f61c', b'\\U0001f911']"

14th December 2018,"[b'\\U0001f600', b'\\U0001f619', b'\\U0001f917', b'\\U0001f911', b'\\U0001f606']"

13th December 2018,"[b'\\U0001f60d', b'\\U0001f602', b'\\U0001f44a', b'\\U0001f981', b'\\U0001f439']"

