timestamp,value1,value2,value3,value4,value5
9th November 2019,"[b'\\U0001f618', b'\\U0001f34d', b'\\U0001f61d', b'\\U0001f389', b'\\U0001f601']"

8th November 2019,"[b'\\U0001f607', b'\\U0001f608', b'\\U0001f308', b'\\U0001f60f', b'\\u2665']"

7th November 2019,"[b'\\U0001f344', b'\\U0001f60b', b'\\U0001f47b', b'\\U0001f431', b'\\U0001f409']"

6th November 2019,"[b'\\U0001f911', b'\\U0001f60d', b'\\U0001f643', b'\\U0001f917', b'\\U0001f61c']"

5th November 2019,"[b'\\U0001f61c', b'\\U0001f917', b'\\U0001f911', b'\\U0001f60d', b'\\U0001f914']"

4th November 2019,"[b'\\U0001f601', b'\\U0001f609', b'\\U0001f618', b'\\U0001f60d', b'\\U0001f61d']"

3rd November 2019,"[b'\\U0001f917', b'\\U0001f911', b'\\U0001f914', b'\\U0001f911', b'\\U0001f917']"

2nd November 2019,"[b'\\U0001f60a', b'\\U0001f60d', b'\\U0001f643', b'\\U0001f642', b'\\U0001f60e']"

1st November 2019,"[b'\\U0001f61c', b'\\U0001f618', b'\\U0001f60d', b'\\U0001f911', b'\\U0001f60e']"

31st October 2019,"[b'\\U0001f606', b'\\U0001f618', b'\\U0001f913', b'\\U0001f60b', b'\\U0001f911']"

30th October 2019,"[b'\\U0001f609', b'\\U0001f60e', b'\\U0001f917', b'\\U0001f60b', b'\\U0001f608']"

29th October 2019,"[b'\\U0001f602', b'\\U0001f61c', b'\\U0001f914', b'\\U0001f4a9', b'\\U0001f44d']"

28th October 2019,"[b'\\U0001f60f', b'\\U0001f411', b'\\U0001f429', b'\\U0001f437', b'\\U0001f917']"

27th October 2019,"[b'\\U0001f600', b'\\U0001f914', b'\\U0001f61c', b'\\U0001f60a', b'\\U0001f603']"

26th October 2019,"[b'\\U0001f47d', b'\\U0001f915', b'\\U0001f43c', b'\\U0001f4a9', b'\\U0001f344']"

25th October 2019,"[b'\\U0001f642', b'\\U0001f606', b'\\U0001f609', b'\\U0001f4a9', b'\\U0001f608']"

24th October 2019,"[b'\\U0001f917', b'\\U0001f618', b'\\U0001f942', b'\\U0001f64f', b'\\U0001f984']"

23rd October 2019,"[b'\\U0001f340', b'\\U0001f431', b'\\U0001f31e', b'\\U0001f495', b'\\U0001f595']"

22nd October 2019,"[b'\\U0001f600', b'\\U0001f601', b'\\U0001f438', b'\\U0001f340', b'\\U0001f351']"

21st October 2019,"[b'\\U0001f60d', b'\\U0001f61c', b'\\U0001f618', b'\\U0001f602', b'\\U0001f911']"

20th October 2019,"[b'\\U0001f61d', b'\\U0001f60b', b'\\U0001f915', b'\\U0001f595', b'\\U0001f435']"

19th October 2019,"[b'\\U0001f600', b'\\U0001f607', b'\\U0001f618', b'\\U0001f61c', b'\\U0001f914']"

18th October 2019,"[b'\\U0001f913', b'\\U0001f61c', b'\\U0001f642', b'\\U0001f60a', b'\\U0001f61d']"

17th October 2019,"[b'\\U0001f61c', b'\\U0001f911', b'\\U0001f60d', b'\\U0001f917', b'\\U0001f60a']"

16th October 2019,"[b'\\U0001f607', b'\\U0001f608', b'\\U0001f984', b'\\U0001f415', b'\\U0001f4af']"

15th October 2019,"[b'\\U0001f61c', b'\\U0001f60d', b'\\U0001f607', b'\\U0001f601', b'\\U0001f60a']"

14th October 2019,"[b'\\U0001f602', b'\\U0001f914', b'\\U0001f984', b'\\U0001f54a', b'\\U0001f420']"

13th October 2019,"[b'\\U0001f913', b'\\U0001f643', b'\\U0001f914', b'\\U0001f60d', b'\\U0001f607']"

12th October 2019,"[b'\\U0001f911', b'\\U0001f609', b'\\U0001f636', b'\\U0001f601', b'\\U0001f431']"

11th October 2019,"[b'\\U0001f602', b'\\U0001f431', b'\\U0001f405', b'\\U0001f401', b'\\U0001f609']"

10th October 2019,"[b'\\U0001f917', b'\\U0001f60d', b'\\U0001f61d', b'\\U0001f642', b'\\U0001f616']"

9th October 2019,"[b'\\U0001f60d', b'\\U0001f618', b'\\U0001f60a', b'\\U0001f61c', b'\\U0001f61d']"

8th October 2019,"[b'\\U0001f60d', b'\\U0001f917', b'\\u2764', b'\\U0001f911', b'\\U0001f64f']"

7th October 2019,"[b'\\U0001f602', b'\\U0001f618', b'\\U0001f47d', b'\\U0001f525', b'\\U0001f369']"

6th October 2019,"[b'\\U0001f601', b'\\U0001f643', b'\\U0001f914', b'\\U0001f60e', b'\\U0001f618']"

5th October 2019,"[b'\\U0001f917', b'\\U0001f606', b'\\U0001f607', b'\\U0001f60d', b'\\U0001f911']"

4th October 2019,"[b'\\U0001f602', b'\\U0001f618', b'\\U0001f60e', b'\\U0001f61c', b'\\U0001f4a9']"

3rd October 2019,"[b'\\U0001f984', b'\\U0001f352', b'\\u2665', b'\\U0001f98b', b'\\U0001f988']"

